source_pdf,source_page,table_name,metric_or_line_item,period,value_raw,value_numeric,unit_or_note,extraction_note
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2024,195,195.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2023,191,191.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information","Gross leasable retail, office and industrial area",2025,"35,585",35585.0,thousands of sq. ft.,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information","Gross leasable retail, office and industrial area",2024,"35,300",35300.0,thousands of sq. ft.,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information","Gross leasable retail, office and industrial area",2023,"35,045",35045.0,thousands of sq. ft.,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2025,98.6 %,98.6,percent,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2024,98.7 %,98.7,percent,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2023,98.5 %,98.5,percent,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Average lease term to maturity,2025,4.3,4.3,years,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Average lease term to maturity,2024,4.2,4.2,years,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Average lease term to maturity,2023,4.3,4.3,years,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place net retail rental rate excluding Anchors,2025,$24.23,24.23,dollars per occupied sq. ft.,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place net retail rental rate excluding Anchors,2024,$23.48,23.48,dollars per occupied sq. ft.,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",In-place net retail rental rate excluding Anchors,2023,$22.59,22.59,dollars per occupied sq. ft.,Targeted extraction from manually selected annual report table
